☝️,index pointing up,☝🏻,☝🏻,☝🏼,☝🏻,☝🏼,☝🏽,☝🏻,☝🏼,☝🏽,☝🏾,☝🏻,☝🏼,☝🏽,☝🏾,☝🏿
🫵,index pointing at the viewer you,🫵🏻,🫵🏻,🫵🏼,🫵🏻,🫵🏼,🫵🏽,🫵🏻,🫵🏼,🫵🏽,🫵🏾,🫵🏻,🫵🏼,🫵🏽,🫵🏾,🫵🏿
👍,thumbs up all the best,👍🏻,👍🏻,👍🏼,👍🏻,👍🏼,👍🏽,👍🏻,👍🏼,👍🏽,👍🏾,👍🏻,👍🏼,👍🏽,👍🏾,👍🏿
👎,thumbs down,👎🏻,👎🏻,👎🏼,👎🏻,👎🏼,👎🏽,👎🏻,👎🏼,👎🏽,👎🏾,👎🏻,👎🏼,👎🏽,👎🏾,👎🏿
✊,raised fist ,✊🏻,✊🏻,✊🏼,✊🏻,✊🏼,✊🏽,✊🏻,✊🏼,✊🏽,✊🏾,✊🏻,✊🏼,✊🏽,✊🏾,✊🏿
👊,oncoming fist,👊🏻,👊🏻,👊🏼,👊🏻,👊🏼,👊🏽,👊🏻,👊🏼,👊🏽,👊🏾,👊🏻,👊🏼,👊🏽,👊🏾,👊🏿
🤛,left-facing fist,🤛🏻,🤛🏻,🤛🏼,🤛🏻,🤛🏼,🤛🏽,🤛🏻,🤛🏼,🤛🏽,🤛🏾,🤛🏻,🤛🏼,🤛🏽,🤛🏾,🤛🏿
🤜,right-facing fist,🤜🏻,🤜🏻,🤜🏼,🤜🏻,🤜🏼,🤜🏽,🤜🏻,🤜🏼,🤜🏽,🤜🏾,🤜🏻,🤜🏼,🤜🏽,🤜🏾,🤜🏿
👏,clapping hands,👏🏻,👏🏻,👏🏼,👏🏻,👏🏼,👏🏽,👏🏻,👏🏼,👏🏽,👏🏾,👏🏻,👏🏼,👏🏽,👏🏾,👏🏿
🙌,raising hands,🙌🏻,🙌🏻,🙌🏼,🙌🏻,🙌🏼,🙌🏽,🙌🏻,🙌🏼,🙌🏽,🙌🏾,🙌🏻,🙌🏼,🙌🏽,🙌🏾,🙌🏿
🫶,heart hands,🫶🏻,🫶🏻,🫶🏼,🫶🏻,🫶🏼,🫶🏽,🫶🏻,🫶🏼,🫶🏽,🫶🏾,🫶🏻,🫶🏼,🫶🏽,🫶🏾,🫶🏿
👐,open hands,👐🏻,👐🏻,👐🏼,👐🏻,👐🏼,👐🏽,👐🏻,👐🏼,👐🏽,👐🏾,👐🏻,👐🏼,👐🏽,👐🏾,👐🏿
🤲,palms up together,🤲🏻,🤲🏻,🤲🏼,🤲🏻,🤲🏼,🤲🏽,🤲🏻,🤲🏼,🤲🏽,🤲🏾,🤲🏻,🤲🏼,🤲🏽,🤲🏾,🤲🏿
🤝,handshake,🤝🏻,🤝🏻,🤝🏼,🤝🏻,🤝🏼,🤝🏽,🤝🏻,🤝🏼,🤝🏽,🤝🏾
🙏,folded hands,🙏🏻,🙏🏻,🙏🏼,🙏🏻,🙏🏼,🙏🏽,🙏🏻,🙏🏼,🙏🏽,🙏🏾,🙏🏻,🙏🏼,🙏🏽,🙏🏾,🙏🏿
✍️,writing hand,✍🏻,✍🏻,✍🏼,✍🏻,✍🏼,✍🏽,✍🏻,✍🏼,✍🏽,✍🏾,✍🏻,✍🏼,✍🏽,✍🏾,✍🏿
💅,nail polish,💅🏻,💅🏻,💅🏼,💅🏻,💅🏼,💅🏽,💅🏻,💅🏼,💅🏽,💅🏾,💅🏻,💅🏼,💅🏽,💅🏾,💅🏿
🤳,selfie,🤳🏻,🤳🏻,🤳🏼,🤳🏻,🤳🏼,🤳🏽,🤳🏻,🤳🏼,🤳🏽,🤳🏾,🤳🏻,🤳🏼,🤳🏽,🤳🏾,🤳🏿
💪,flexed biceps,💪🏻,💪🏻,💪🏼,💪🏻,💪🏼,💪🏽,💪🏻,💪🏼,💪🏽,💪🏾,💪🏻,💪🏼,💪🏽,💪🏾,💪🏿
🦾,mechanical arm
🦿,mechanical leg
🦵,leg,🦵🏻,🦵🏻,🦵🏼,🦵🏻,🦵🏼,🦵🏽,🦵🏻,🦵🏼,🦵🏽,🦵🏾,🦵🏻,🦵🏼,🦵🏽,🦵🏾,🦵🏿
🦶,foot,🦶🏻,🦶🏻,🦶🏼,🦶🏻,🦶🏼,🦶🏽,🦶🏻,🦶🏼,🦶🏽,🦶🏾,🦶🏻,🦶🏼,🦶🏽,🦶🏾,🦶🏿
👂,ear,👂🏻,👂🏻,👂🏼,👂🏻,👂🏼,👂🏽,👂🏻,👂🏼,👂🏽,👂🏾,👂🏻,👂🏼,👂🏽,👂🏾,👂🏿
🦻,ear with hearing aid,🦻🏻,🦻🏻,🦻🏼,🦻🏻,🦻🏼,🦻🏽,🦻🏻,🦻🏼,🦻🏽,🦻🏾,🦻🏻,🦻🏼,🦻🏽,🦻🏾,🦻🏿
👃,nose,👃🏻,👃🏻,👃🏼,👃🏻,👃🏼,👃🏽,👃🏻,👃🏼,👃🏽,👃🏾,👃🏻,👃🏼,👃🏽,👃🏾,👃🏿
🧠,brain
🫀,anatomical heart
🫁,lungs
🦷,tooth
🦴,bone
👀,eyes look
👁️,eye
👅,tongue taste
👄,mouth speak
🫦,biting lip horny
👶,baby,👶🏻,👶🏻,👶🏼,👶🏻,👶🏼,👶🏽,👶🏻,👶🏼,👶🏽,👶🏾,👶🏻,👶🏼,👶🏽,👶🏾,👶🏿
🧒,child,🧒🏻,🧒🏻,🧒🏼,🧒🏻,🧒🏼,🧒🏽,🧒🏻,🧒🏼,🧒🏽,🧒🏾,🧒🏻,🧒🏼,🧒🏽,🧒🏾,🧒🏿
👦,boy,👦🏻,👦🏻,👦🏼,👦🏻,👦🏼,👦🏽,👦🏻,👦🏼,👦🏽,👦🏾,👦🏻,👦🏼,👦🏽,👦🏾,👦🏿
👧,girl,👧🏻,👧🏻,👧🏼,👧🏻,👧🏼,👧🏽,👧🏻,👧🏼,👧🏽,👧🏾,👧🏻,👧🏼,👧🏽,👧🏾,👧🏿
🧑,person,🧑🏻,🧑🏻,🧑🏼,🧑🏻,🧑🏼,🧑🏽,🧑🏻,🧑🏼,🧑🏽,🧑🏾,🧑🏻,🧑🏼,🧑🏽,🧑🏾,🧑🏿
